ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
33592,1060,1432,45.508905,45.50822,11.212074,11.206616,502.3,502.3,2.1698397,0.83
33593,1079,1432,45.509176,45.508491,11.21412,11.208662,520.8,520.8,2.0214942,0.88
33594,251,1433,45.498476,45.497791,11.133389,11.127931,165.9,165.9,2.0211304,0.83
33595,313,1433,45.499615,45.49893,11.141946,11.136488,314.5,314.5,1.7823754,0.9
33596,345,1433,45.5002,45.499515,11.146353,11.140895,391,391,1.9383919,0.93
33597,432,1433,45.501201,45.500516,11.153864,11.148406,378.6,378.6,1.8098518,0.97
33598,463,1433,45.501504,45.500819,11.156134,11.150676,354.2,354.2,1.696149,0.97
33599,518,1433,45.502048,45.501363,11.160214,11.154756,313.6,313.6,1.6672478,0.98
33600,527,1433,45.502121,45.501436,11.160766,11.155308,301.2,301.2,1.707597,0.98
33601,533,1433,45.502183,45.501498,11.161228,11.15577,297.6,297.6,1.7694874,0.97
33602,542,1433,45.502272,45.501587,11.161898,11.15644,291.1,291.1,1.7822214,0.96
33603,550,1433,45.502357,45.501672,11.162534,11.157076,287.3,287.3,1.7848916,0.97
33604,592,1433,45.50286,45.502175,11.166319,11.160861,289.6,289.6,1.7465172,0.98
33605,639,1433,45.503377,45.502692,11.170203,11.164745,274.8,274.8,1.7408731,0.98
33606,649,1433,45.503494,45.502809,11.171082,11.165624,274.3,274.3,1.7738946,0.99
33607,654,1433,45.503552,45.502867,11.171518,11.16606,273.9,273.9,1.7998761,0.99
33608,663,1433,45.503661,45.502976,11.172334,11.166876,274.7,274.7,1.7974835,0.99
33609,686,1433,45.503927,45.503242,11.174339,11.168881,272.7,272.7,1.7432575,0.98
33610,748,1433,45.504654,45.503969,11.179802,11.174344,270.5,270.5,1.7840324,0.97
33611,764,1433,45.504837,45.504152,11.181182,11.175724,268.5,268.5,1.7850534,0.97
33612,798,1433,45.505309,45.504624,11.184734,11.179276,295.2,295.2,1.9163483,0.96
33613,815,1433,45.505589,45.504904,11.186845,11.181387,325.2,325.2,1.8521739,0.95
33614,852,1433,45.506429,45.505744,11.19319,11.187732,478.2,478.2,1.760813,0.86
33615,867,1433,45.506587,45.505902,11.194376,11.188918,471.1,471.1,1.6978029,0.8
33616,908,1433,45.506844,45.506159,11.196308,11.19085,386.2,386.2,1.8455704,0.85
33617,959,1433,45.507205,45.50652,11.19901,11.193552,295.6,295.6,1.7780428,0.92
33618,999,1433,45.507558,45.506873,11.201667,11.196209,251.4,251.4,2.1923542,0.9
33619,1037,1433,45.508274,45.507589,11.207075,11.201617,353.9,353.9,2.0726242,0.9
33620,1040,1433,45.508321,45.507636,11.207432,11.201974,358.5,358.5,2.0245575,0.91
33621,1054,1433,45.508558,45.507873,11.209219,11.203761,386.1,386.1,2.1512515,0.85
33622,1096,1433,45.509389,45.508704,11.215505,11.210047,515.4,515.4,1.9798161,0.87
33623,1110,1433,45.509556,45.508871,11.21676,11.211302,516.4,516.4,2.0876233,0.86
33624,1117,1433,45.509633,45.508948,11.217343,11.211885,514.7,514.7,2.0358548,0.88
33625,1177,1433,45.510442,45.509757,11.223451,11.217993,555.8,555.8,1.9816027,0.91
33626,1185,1433,45.510512,45.509827,11.223978,11.21852,546.8,546.8,2.0407744,0.88
33627,177,1434,45.497901,45.497216,11.128867,11.123409,269.8,269.8,1.8611761,0.85
33628,191,1434,45.498025,45.49734,11.129799,11.124341,254,254,1.8222158,0.85
33629,199,1434,45.498094,45.497409,11.130315,11.124857,244.1,244.1,1.856553,0.85
33630,225,1434,45.498336,45.497651,11.132122,11.126664,218.5,218.5,1.9887871,0.84
33631,243,1434,45.498447,45.497762,11.132952,11.127494,180,180,1.8822886,0.81
33632,256,1434,45.498528,45.497843,11.133551,11.128093,152.2,152.2,1.9865494,0.86
33633,275,1434,45.498749,45.498064,11.135212,11.129754,150.3,150.3,1.9103974,0.87
33634,279,1434,45.498839,45.498154,11.135889,11.130431,166.1,166.1,2.2583219,0.86
33635,329,1434,45.499874,45.499189,11.143673,11.138215,329.6,329.6,1.8873402,0.92
33636,333,1434,45.499927,45.499242,11.144074,11.138616,331.7,331.7,1.8783653,0.93
33637,343,1434,45.500158,45.499473,11.145808,11.14035,373.3,373.3,1.8746604,0.93
33638,450,1434,45.501438,45.500753,11.155423,11.149965,376.8,376.8,1.7948296,0.97
33639,473,1434,45.501619,45.500934,11.156778,11.15132,342.4,342.4,1.6528531,0.97
33640,490,1434,45.501812,45.501127,11.158224,11.152766,338.9,338.9,1.7159532,0.98
33641,512,1434,45.502025,45.50134,11.159826,11.154368,321.2,321.2,1.6652929,0.96
33642,586,1434,45.502828,45.502143,11.165851,11.160393,293.3,293.3,1.7310291,0.98
33643,589,1434,45.50286,45.502175,11.166091,11.160633,291.9,291.9,1.7420628,0.98
33644,605,1434,45.503007,45.502322,11.167201,11.161743,276.4,276.4,1.8030335,0.98
33645,679,1434,45.503875,45.50319,11.173722,11.168264,273.4,273.4,1.7480059,0.98
33646,761,1434,45.504833,45.504148,11.180931,11.175473,269.7,269.7,1.7828213,0.98
33647,769,1434,45.504922,45.504237,11.181595,11.176137,267.4,267.4,1.745212,0.97
33648,790,1434,45.505201,45.504516,11.183703,11.178245,279.5,279.5,1.8931872,0.97
33649,811,1434,45.505557,45.504872,11.186385,11.180927,320.4,320.4,1.8862082,0.96
33650,873,1434,45.506647,45.505962,11.194606,11.189148,456.4,456.4,1.8196318,0.83
33651,878,1434,45.506675,45.50599,11.194815,11.189357,444.7,444.7,1.8804932,0.84
33652,895,1434,45.506777,45.506092,11.195582,11.190124,407.9,407.9,1.8689247,0.87
33653,1030,1434,45.508173,45.507488,11.206092,11.200634,336.1,336.1,2.1442395,0.91
33654,1045,1434,45.508437,45.507752,11.208084,11.202626,369.5,369.5,2.0261307,0.91
33655,1062,1434,45.508982,45.508297,11.212213,11.206755,501.2,501.2,2.1618508,0.87
33656,1070,1434,45.509113,45.508428,11.213197,11.207739,515.2,515.2,2.130383,0.88
33657,1123,1434,45.509736,45.509051,11.217899,11.212441,516.4,516.4,2.0036086,0.88
33658,226,1435,45.498374,45.497689,11.132186,11.126728,217.6,217.6,1.9839109,0.83
33659,244,1435,45.498481,45.497796,11.132982,11.127524,177.5,177.5,1.8877786,0.81
33660,247,1435,45.498503,45.497818,11.133151,11.127693,172.6,172.6,1.9091279,0.83
33661,251,1435,45.498535,45.49785,11.133385,11.127927,166.5,166.5,2.015618,0.83
33662,325,1435,45.499838,45.499153,11.143181,11.137723,323.3,323.3,1.8117474,0.93
33663,335,1435,45.499982,45.499297,11.144268,11.13881,332.9,332.9,1.8862977,0.93
33664,337,1435,45.500011,45.499326,11.144485,11.139027,334.8,334.8,1.8998079,0.93
33665,380,1435,45.500832,45.500147,11.150664,11.145206,450.5,450.5,1.7264709,0.95
33666,382,1435,45.500853,45.500168,11.150815,11.145357,449.2,449.2,1.7280892,0.95
33667,429,1435,45.501226,45.500541,11.15361,11.148152,380,380,1.8079187,0.97
33668,489,1435,45.50183,45.501145,11.158144,11.152686,339.8,339.8,1.7223881,0.98
33669,508,1435,45.502017,45.501332,11.159546,11.154088,325.4,325.4,1.7048533,0.97
33670,529,1435,45.502196,45.501511,11.160884,11.155426,299,299,1.733746,0.98
33671,556,1435,45.502482,45.501797,11.163032,11.157574,286.2,286.2,1.7982299,0.97
33672,578,1435,45.502757,45.502072,11.1651,11.159642,291.7,291.7,1.7685749,0.99
33673,593,1435,45.502928,45.502243,11.166382,11.160924,289.1,289.1,1.7502627,0.98
