ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
11336,833,1518,45.507347,11.181253,-0.2,-0.2,1.9952579,0.76
11820,644,1566,45.506472,11.164075,-0.2,-0.2,1.8842034,0.86
13096,710,1670,45.510199,11.169145,-0.2,-0.2,1.7348949,0.99
13469,666,1700,45.510528,11.164995,-0.2,-0.2,1.7407538,0.99
13640,643,1713,45.510624,11.162848,-0.2,-0.2,1.7589957,0.96
13665,675,1715,45.51106,11.165681,-0.2,-0.2,1.7770099,0.96
13705,644,1718,45.510778,11.162898,-0.2,-0.2,1.7558184,0.97
6319,317,1015,45.486976,11.139167,-0.1,-0.1,1.9500428,0.81
13090,554,1670,45.508351,11.155252,-0.1,-0.1,1.7976941,0.93
13436,723,1697,45.511118,11.170093,-0.1,-0.1,1.7377321,0.97
13467,654,1700,45.510386,11.163929,-0.1,-0.1,1.7601782,0.97
13565,635,1708,45.510388,11.162175,-0.1,-0.1,1.8836792,0.95
13664,661,1715,45.510894,11.164436,-0.1,-0.1,1.7459258,0.98
14012,660,1744,45.511704,11.164123,-0.1,-0.1,1.7503318,0.98
14040,634,1746,45.511452,11.161792,-0.1,-0.1,1.7617172,0.97
14041,637,1746,45.511488,11.16206,-0.1,-0.1,1.7506993,0.98
14356,657,1771,45.512433,11.163647,-0.1,-0.1,1.7897166,0.95
4930,855,902,45.490156,11.187977,0,0,1.8261438,0.88
5222,902,919,45.491192,11.192014,0,0,2.005763,0.81
5327,1043,927,45.493078,11.204444,0,0,1.9316946,0.82
8455,1047,1235,45.50185,11.202417,0,0,1.8782657,0.82
9804,1011,1372,45.505308,11.198171,0,0,1.9354446,0.84
12583,694,1629,45.508849,11.168042,0,0,1.7252766,1
12761,558,1644,45.507662,11.155812,0,0,2.0058565,0.88
13195,694,1678,45.510237,11.167662,0,0,1.9725823,0.84
13339,702,1690,45.510672,11.168281,0,0,1.846772,0.91
13416,651,1696,45.510238,11.163695,0,0,1.7336996,0.98
13830,649,1728,45.511121,11.16327,0,0,1.808663,0.95
13937,663,1738,45.51157,11.164439,0,0,1.7713135,0.96
14402,621,1775,45.51212,11.160412,0,0,1.7981725,0.92
2360,474,717,45.480404,11.155508,0.1,0.1,1.9093049,0.77
5436,791,936,45.490364,11.182032,0.1,0.1,1.9780816,0.81
5918,916,978,45.493029,11.192802,0.1,0.1,1.8239026,0.85
6948,928,1071,45.495805,11.193147,0.1,0.1,1.94549,0.78
12488,844,1622,45.510423,11.181432,0.1,0.1,1.8593242,0.86
12655,670,1635,45.508735,11.165862,0.1,0.1,1.8095549,0.92
13016,555,1665,45.508222,11.155383,0.1,0.1,1.8164632,0.9
13445,644,1698,45.510212,11.163059,0.1,0.1,1.7331291,0.98
13464,619,1700,45.509972,11.160817,0.1,0.1,1.7811134,0.9
13596,656,1710,45.510694,11.164035,0.1,0.1,1.7431097,0.98
13656,665,1714,45.510914,11.164805,0.1,0.1,1.7474126,0.99
13910,702,1735,45.511947,11.167935,0.1,0.1,1.8087714,0.93
14123,599,1753,45.511236,11.158624,0.1,0.1,1.9913513,0.8
2303,471,713,45.480256,11.155274,0.2,0.2,1.8390144,0.82
3425,359,789,45.481075,11.144682,0.2,0.2,1.9106542,0.82
9049,952,1292,45.502348,11.193567,0.2,0.2,1.8543632,0.9
10011,819,1393,45.503641,11.180986,0.2,0.2,1.8185478,0.87
10559,1018,1448,45.507544,11.198207,0.2,0.2,1.8663035,0.83
12690,817,1637,45.51053,11.178918,0.2,0.2,1.7982859,0.89
12751,677,1643,45.509045,11.166425,0.2,0.2,1.7611046,0.94
13130,634,1673,45.509385,11.162364,0.2,0.2,1.7504844,0.98
13399,569,1695,45.509238,11.156402,0.2,0.2,1.9820645,0.83
13484,573,1701,45.509455,11.156711,0.2,0.2,2.0068273,0.76
13638,636,1713,45.510542,11.162232,0.2,0.2,1.7490504,0.98
13704,638,1718,45.510707,11.162371,0.2,0.2,1.740529,0.98
13848,691,1730,45.511675,11.166996,0.2,0.2,1.9666643,0.87
14369,621,1772,45.512036,11.16044,0.2,0.2,1.7649549,0.93
5730,782,961,45.490967,11.181045,0.3,0.3,1.7826234,0.91
9084,953,1295,45.502445,11.193634,0.3,0.3,1.7936318,0.89
10042,803,1397,45.503566,11.179535,0.3,0.3,1.7928201,0.95
12634,677,1633,45.508762,11.166504,0.3,0.3,1.8721228,0.87
13365,570,1692,45.509165,11.156516,0.3,0.3,1.8678797,0.89
13555,652,1707,45.510562,11.163706,0.3,0.3,1.7326483,0.99
